127.0.0.1, 2018-10-25 20:07:03, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2018-10-25 20:07:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.642000
127.0.0.1, 2018-10-25 20:07:04, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-25 20:07:18, GET, /welcome/default/api_get_user_email, HTTP/1.1, 303, 0.046000
127.0.0.1, 2018-10-25 20:07:18, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-10-25 20:12:57, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-10-25 20:12:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-10-25 20:12:57, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-25 20:13:33, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 303, 0.539000
127.0.0.1, 2018-10-25 20:13:33, GET, /admin/default/index, HTTP/1.1, 200, 0.063000
127.0.0.1, 2018-10-25 20:13:33, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:13:33, GET, /admin/static/_2.17.2/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:13:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:13:36, POST, /admin/default/index, HTTP/1.1, 303, 0.028000
127.0.0.1, 2018-10-25 20:13:36, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-10-25 20:13:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-25 20:13:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:13:43, GET, /admin/default/index, HTTP/1.1, 303, 0.024000
127.0.0.1, 2018-10-25 20:13:43, GET, /admin/default/site, HTTP/1.1, 200, 0.066000
127.0.0.1, 2018-10-25 20:13:43, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:13:43, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:13:44, POST, /admin/default/check_version, HTTP/1.1, 200, 0.229000
127.0.0.1, 2018-10-25 20:13:44, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:13:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/default/index, HTTP/1.1, 200, 0.353000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:00, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:14:03, GET, /admin/default/site, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-10-25 20:14:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-25 20:14:05, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-25 20:14:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-25 20:14:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:14:07, GET, /hw2/default/entry1, HTTP/1.1, 404, 0.029000
127.0.0.1, 2018-10-25 20:14:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:14:09, GET, /hw2/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-10-25 20:14:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-25 20:14:31, GET, /hw2/default/add, HTTP/1.1, 303, 0.036000
127.0.0.1, 2018-10-25 20:14:31, GET, /hw2/default/user/login, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-10-25 20:14:31, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.002000
